City,Country,Venue,Tour,Revenue,Tickets_Sold,Tickets_Available
Charlotte,United States,Time Warner Cable Arena,The_1989_World_Tour,1627798,15024,15024
Raleigh,United States,PNC Arena,The_1989_World_Tour,1653762,13886,13886
Philadelphia,United States,Lincoln Financial Field,The_1989_World_Tour,11987816,101052,101052
Philadelphia,United States,Lincoln Financial Field,The_1989_World_Tour,11987816,101052,101052
Cologne,Germany,Lanxess Arena,The_1989_World_Tour,2054690,29020,29020
Cologne,Germany,Lanxess Arena,The_1989_World_Tour,2054690,29020,29020
Amsterdam,Netherlands,Ziggo Dome,The_1989_World_Tour,800829,11166,11166
Glasgow,Scotland,SSE Hydro,The_1989_World_Tour,1119300,11021,11021
Manchester,England,Manchester Arena,The_1989_World_Tour,1478760,14773,14773
Dublin,Ireland,3Arena,The_1989_World_Tour,1975510,25188,25188
Dublin,Ireland,3Arena,The_1989_World_Tour,1975510,25188,25188
Ottawa,Canada,Canadian Tire Centre,The_1989_World_Tour,1325480,13480,13480
Montreal,Canada,Bell Centre,The_1989_World_Tour,1499040,14770,14770
East Rutherford,United States,MetLife Stadium,The_1989_World_Tour,13423858,110105,110105
East Rutherford,United States,MetLife Stadium,The_1989_World_Tour,13423858,110105,110105
Washington,United States,Nationals Park,The_1989_World_Tour,9730596,85014,85014
Washington,United States,Nationals Park,The_1989_World_Tour,9730596,85014,85014
Chicago,United States,Soldier Field,The_1989_World_Tour,11469887,110109,110109
Chicago,United States,Soldier Field,The_1989_World_Tour,11469887,110109,110109
Foxborough,United States,Gillette Stadium,The_1989_World_Tour,12533166,116849,116849
Foxborough,United States,Gillette Stadium,The_1989_World_Tour,12533166,116849,116849
Vancouver,Canada,BC Place,The_1989_World_Tour,4081820,41463,41463
Edmonton,Canada,Rexall Place,The_1989_World_Tour,2387080,26534,26534
Edmonton,Canada,Rexall Place,The_1989_World_Tour,2387080,26534,26534
Seattle,United States,CenturyLink Field,The_1989_World_Tour,6050643,55711,55711
Santa Clara,United States,Levi's Stadium,The_1989_World_Tour,13031146,102139,102139
Santa Clara,United States,Levi's Stadium,The_1989_World_Tour,13031146,102139,102139
Glendale,United States,Gila River Arena,The_1989_World_Tour,3029628,26520,26520
Glendale,United States,Gila River Arena,The_1989_World_Tour,3029628,26520,26520
Los Angeles,United States,Staples Center,The_1989_World_Tour,8961681,70563,70563
Los Angeles,United States,Staples Center,The_1989_World_Tour,8961681,70563,70563
Los Angeles,United States,Staples Center,The_1989_World_Tour,8961681,70563,70563
Los Angeles,United States,Staples Center,The_1989_World_Tour,8961681,70563,70563
Los Angeles,United States,Staples Center,The_1989_World_Tour,8961681,70563,70563
San Diego,United States,Petco Park,The_1989_World_Tour,5475237,44710,44710
Salt Lake City,United States,EnergySolutions Arena,The_1989_World_Tour,1589686,14131,14131
Denver,United States,Pepsi Center,The_1989_World_Tour,2868991,27126,27126
Denver,United States,Pepsi Center,The_1989_World_Tour,2868991,27126,27126
Houston,United States,Minute Maid Park,The_1989_World_Tour,5202196,40122,40122
Saint Paul,United States,Xcel Energy Center,The_1989_World_Tour,5514863,45126,45126
Saint Paul,United States,Xcel Energy Center,The_1989_World_Tour,5514863,45126,45126
Saint Paul,United States,Xcel Energy Center,The_1989_World_Tour,5514863,45126,45126
Indianapolis,United States,Bankers Life Fieldhouse,The_1989_World_Tour,1550268,14010,14010
Columbus,United States,Nationwide Arena,The_1989_World_Tour,3369693,29936,29936
Columbus,United States,Nationwide Arena,The_1989_World_Tour,3369693,29936,29936
Kansas City,United States,Sprint Center,The_1989_World_Tour,2967558,27857,27857
Kansas City,United States,Sprint Center,The_1989_World_Tour,2967558,27857,27857
Nashville,United States,Bridgestone Arena,The_1989_World_Tour,3354844,28917,28917
Nashville,United States,Bridgestone Arena,The_1989_World_Tour,3354844,28917,28917
St. Louis,United States,Scottrade Center,The_1989_World_Tour,3452940,29688,29688
St. Louis,United States,Scottrade Center,The_1989_World_Tour,3452940,29688,29688
Toronto,Canada,Rogers Centre,The_1989_World_Tour,8670990,99283,99283
Toronto,Canada,Rogers Centre,The_1989_World_Tour,8670990,99283,99283
Des Moines,United States,Wells Fargo Arena,The_1989_World_Tour,1566321,13969,13969
Omaha,United States,CenturyLink Center Omaha,The_1989_World_Tour,3121421,29622,29622
Omaha,United States,CenturyLink Center Omaha,The_1989_World_Tour,3121421,29622,29622
Fargo,United States,Fargodome,The_1989_World_Tour,2219188,21067,21067
Arlington,United States,AT&T Stadium,The_1989_World_Tour,7396733,62630,62630
Lexington,United States,Rupp Arena,The_1989_World_Tour,1870471,17084,17084
Greensboro,United States,Greensboro Coliseum,The_1989_World_Tour,1662171,15079,15079
Atlanta,United States,Georgia Dome,The_1989_World_Tour,6034846,56046,56046
Miami,United States,American Airlines Arena,The_1989_World_Tour,1527919,14044,14044
Tampa,United States,Raymond James Stadium,The_1989_World_Tour,6202515,56987,56987
Singapore,Singapore,Singapore Indoor Stadium,The_1989_World_Tour,3217569,17726,17726
Singapore,Singapore,Singapore Indoor Stadium,The_1989_World_Tour,3217569,17726,17726
Shanghai,China,Mercedes-Benz Arena,The_1989_World_Tour,5917348,37758,37758
Shanghai,China,Mercedes-Benz Arena,The_1989_World_Tour,5917348,37758,37758
Shanghai,China,Mercedes-Benz Arena,The_1989_World_Tour,5917348,37758,37758
Sydney,Australia,ANZ Stadium,The_1989_World_Tour,6571683,75980,75980
Brisbane,Australia,Suncorp Stadium,The_1989_World_Tour,4759471,46881,46881
Adelaide,Australia,Adelaide Entertainment Centre,The_1989_World_Tour,2407499,20090,20090
Adelaide,Australia,Adelaide Entertainment Centre,The_1989_World_Tour,2407499,20090,20090
Melbourne,Australia,AAMI Park,The_1989_World_Tour,10421553,98136,98136
Melbourne,Australia,AAMI Park,The_1989_World_Tour,10421553,98136,98136
Melbourne,Australia,AAMI Park,The_1989_World_Tour,10421553,98136,98136
Glendale,United States,University of Phoenix Stadium,Reputation_Stadium_Tour,7214478,59157,59157
Santa Clara,United States,Levi's Stadium,Reputation_Stadium_Tour,14006963,107550,107550
Santa Clara,United States,Levi's Stadium,Reputation_Stadium_Tour,14006963,107550,107550
Pasadena,United States,Rose Bowl,Reputation_Stadium_Tour,16251980,118084,118084
Pasadena,United States,Rose Bowl,Reputation_Stadium_Tour,16251980,118084,118084
